candidate_count=149
   45.2m | enkeltminner | 140663-1 | name='Nøstvedt' | loc_art=None | item_art=2507 | dating=100 | vern=IKKEV | function=2500 | lat=59.751476228039 lon=10.799850814454 | info=Rydningsøysa er 3 x 5 meter i omkrets og 90 cm høy. Den er avlang og består av neve- og hodestore stein, samt enkelte opp i 40 cm store. Den ligger på en knaus eller åkerholme som skråner mot øst.
   92.4m | lokaliteter  | 140660-1 | name='Nøstvedt' | loc_art=20114 | item_art=None | dating=None | vern=IKKEV | function=2500 | lat=59.750558065255 lon=10.798332313969 | info=Rydningsrøysa ligger på en åkerholme, i litt skrånende terreng mot sørøst. Den består av og hodestore stein, samt noen større på 40 cm. Rydningsrøysa er 4,5 x 6 meter i omkrets og 15 cm høy. Den ligger lavt i terrenget, og er bevokst med torv.
  122.2m | lokaliteter  | 140661-1 | name='Nøstvedt' | loc_art=20114 | item_art=None | dating=None | vern=IKKEV | function=2500 | lat=59.750155576909 lon=10.798452547325 | info=På en knaus sør for åkeren og ned mot bekken, ligger det tre rydningsrøyser.
  132.4m | enkeltminner | 140661-1 | name='Nøstvedt' | loc_art=None | item_art=2507 | dating=100 | vern=IKKEV | function=2500 | lat=59.750054349363 lon=10.798434253284 | info=På en knaus sør for åkeren og ned mot bekken, ligger det tre rydningsrøyser.
  210.7m | lokaliteter  | 140663-1 | name='Nøstvedt' | loc_art=20114 | item_art=None | dating=None | vern=IKKEV | function=2500 | lat=59.749197114791 lon=10.799438873759 | info=Rydningsøysa er 3 x 5 meter i omkrets og 90 cm høy. Den er avlang og består av neve- og hodestore stein, samt enkelte opp i 40 cm store. Den ligger på en knaus eller åkerholme som skråner mot øst.
  211.1m | lokaliteter  | 140662-1 | name='Nøstvedt' | loc_art=20114 | item_art=None | dating=None | vern=IKKEV | function=2500 | lat=59.749656393072 lon=10.797130759522 | info=Rydningsrøysa ligger delvis bygd opp mot berg i nord-nordøst. Den er måneformet og 2,7 x 4 meter i omkrets. Høyden på den er 40 cm og steinene er fra hodestore til 55 cm. Rydningsrøysa ligger på en åkerholme, den er mosegrodd, men ser ut til å være fra nyere tid.
  391.5m | enkeltminner | 140660-1 | name='Nøstvedt' | loc_art=None | item_art=2507 | dating=999 | vern=IKKEV | function=2500 | lat=59.747685767837 lon=10.797813221464 | info=Rydningsrøysa ligger på en åkerholme, i litt skrånende terreng mot sørøst. Den består av og hodestore stein, samt noen større på 40 cm. Rydningsrøysa er 4,5 x 6 meter i omkrets og 15 cm høy. Den ligger lavt i terrenget, og er bevokst med torv.
  567.1m | enkeltminner | 140662-1 | name='Nøstvedt' | loc_art=None | item_art=2507 | dating=100 | vern=IKKEV | function=2500 | lat=59.746233411790 lon=10.796512208160 | info=Rydningsrøysa ligger delvis bygd opp mot berg i nord-nordøst. Den er måneformet og 2,7 x 4 meter i omkrets. Høyden på den er 40 cm og steinene er fra hodestore til 55 cm. Rydningsrøysa ligger på en åkerholme, den er mosegrodd, men ser ut til å være fra nyere tid.
  719.0m | enkeltminner | 294059-0 | name='Nøstvet' | loc_art=None | item_art=2409 | dating=100 | vern=IKKEV | function=2400 | lat=59.752744585650 lon=10.787192171211 | info=2022: Bogastelle / skytestilling. Tydelig markert, klar avgrenset. Oppbygd av mur, sammenblandet med jord. Lokalisert på en mindre terrasse på skrint fjell. God utsikt i retning Ø. Mål: 2,5 x 7 meter. Høyde: 1 meter. Bredde: 1 meter. Det vokser et mindre løvtre og 2 grantrær, samt et lite furutre i senter.
  734.4m | lokaliteter  | 294059-0 | name='Nøstvet' | loc_art=20108 | item_art=None | dating=None | vern=IKKEV | function=2400 | lat=59.753389788109 lon=10.787308650126 | info=2022: Bogastelle / skytestilling. Tydelig markert, klar avgrenset. Oppbygd av mur, sammenblandet med jord. Lokalisert på en mindre terrasse på skrint fjell. God utsikt i retning Ø. Mål: 2,5 x 7 meter. Høyde: 1 meter. Bredde: 1 meter. Det vokser et mindre løvtre og 2 grantrær, samt et lite furutre i senter.
  764.9m | enkeltminner | 58409-3 | name=None | loc_art=None | item_art=9907 | dating=041 | vern=AUT | function=1500 | lat=59.753489050937 lon=10.786802529398 | info=2022: Mur. Tydelig markert. Klart avgrenset.
  772.1m | enkeltminner | 58409-5 | name=None | loc_art=None | item_art=9907 | dating=041 | vern=AUT | function=1500 | lat=59.754428936244 lon=10.787514329648 | info=2022: Mur. Tydelig markert. Klart avgrenset.
  782.5m | enkeltminner | 58409-2 | name=None | loc_art=None | item_art=9907 | dating=041 | vern=AUT | function=1500 | lat=59.753633318453 lon=10.786574033760 | info=2022: Mur. Tydelig markert, klart avgrenset.
  793.0m | enkeltminner | 58409-1 | name=None | loc_art=None | item_art=1502 | dating=040 | vern=AUT | function=1500 | lat=59.754073661067 lon=10.786741949855 | info=2022: Topplatå.
  796.5m | lokaliteter  | 58409 | name='Fålersloråsen østre' | loc_art=20102 | item_art=None | dating=None | vern=AUT | function=None | lat=59.754073116430 lon=10.786672427896 | info=1979: Åsen faller bratt av mot V og delvis i Ø. I N, NØ og S er hellingen slakere og her er borgen befestet med murer. S-muren begynner i borgens SV-hjørne ved en stor stein og kan følges Ø-NØ-over i en lengde av ca 38m der det er en åpning i muren (br ca 2m). Fra åpningens Ø-side går en mindre mur ut og nedover til foten av borgen, l ca 9m. Fra åpningen fortsetter muren NØ-over i en lengde av ca 14m der den stanser ved et bratt stup. Ca 6m NØ for åpningen og innen borgplatået finnes to steinansamlinger som kan være rester av forsterkningsmur til en åpning. S-muren er i hele sin utstrekning kraftig bygget med mellomstor bruddstein og lett å følge hele veien. Den er også sterkt utrast. I en a
  799.8m | enkeltminner | 58409-4 | name=None | loc_art=None | item_art=9907 | dating=041 | vern=AUT | function=1500 | lat=59.754406844540 lon=10.786929657827 | info=2022: Mur. Tydelig markert. Klart avgrenset.
  802.6m | enkeltminner | 191382-2 | name='A3102' | loc_art=None | item_art=1216 | dating=000 | vern=AUT | function=1200 | lat=59.749182262798 lon=10.785781121496 | info=Kokegrop med sirkulær form. Ikke like klart avgrenset som de to andre (A3101 og A3103). Mye varmepåvirket stein synlig, noe kull. Fyll av grå silt. 80 x80 cm.
  820.0m | enkeltminner | 161210-9 | name=None | loc_art=None | item_art=9926 | dating=000 | vern=FJE | function=1200 | lat=59.757758137391 lon=10.805851917305 | info=Mål 9a:14x17 cm, ovalrund. 9b: 10x10 cm, rund. 9c: 13x14 cm, rund. 9d: 19x13, oval Fire staurhull, klart markerte og avgrenset. Masser i humøs mørk brungrå silt/leire, noe kull. Undergrunn i gulgrå spettet silt.
